site1,site2,comp1,comp2,a,b,c,distance,J_ij,J_ij(meV),dgn,type1,type2
1,1,1,2,2.0000,1.5000,0.5000,2.54951,-9e-06,-0.117282,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,2.0000,1.5000,0.5000,2.54951,-1e-06,-0.015554,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,0.0000,-0.5000,2.5000,2.54951,-1e-06,-0.01362,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.0000,-0.5000,2.5000,2.54951,1e-06,0.014862,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.0000,-0.5000,2.5000,2.54951,1e-06,0.008711,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,0.5000,-1.0000,2.5000,2.738613,2e-06,0.031916,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.5000,-1.0000,2.5000,2.738613,-0.0,-0.002388,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.5000,-1.0000,2.5000,2.738613,-0.0,-0.005443,48,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,2.0000,2.0000,0.0000,2.828427,3.3e-05,0.445044,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,2.0000,2.0000,0.0000,2.828427,1e-05,0.139097,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,2.0000,2.0000,0.0000,2.828427,-1e-06,-0.017855,12,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,2.0000,1.5000,1.5000,2.915476,1e-05,0.133371,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,2.0000,1.5000,1.5000,2.915476,2e-06,0.023787,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,2.0000,1.5000,1.5000,2.915476,-1e-06,-0.016459,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,0.0000,-1.5000,2.5000,2.915476,-6e-06,-0.077143,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.0000,-1.5000,2.5000,2.915476,-0.0,-0.002914,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.0000,-1.5000,2.5000,2.915476,1e-06,0.008438,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,2.0000,2.0000,1.0000,3.0,-4e-06,-0.051846,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,2.0000,2.0000,1.0000,3.0,0.0,0.006286,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,2.0000,2.0000,1.0000,3.0,1e-06,0.012506,24,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,1,0.0000,0.0000,3.0000,3.0,-2e-06,-0.03024,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,1,2,0.0000,0.0000,3.0000,3.0,-0.0,-0.00277,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
1,1,2,2,0.0000,0.0000,3.0000,3.0,0.0,0.002848,6,Fe0.1Ni0.9_4a_0,Fe0.1Ni0.9_4a_0
